Date,Confirmed
2021-07-03,51376
2021-07-04,51376
2021-07-05,51376
2021-07-06,51376
2021-07-07,51376
2021-07-08,51376
2021-07-09,51376
2021-07-10,51376
2021-07-11,51376
2021-07-13,51376
2021-07-15,51376
2021-07-16,51376
2021-07-17,51376
2021-07-18,51376
2021-07-19,51376
2021-07-20,51376
